municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Rio Branco;5107206;2023;4;4;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2023;6;3;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2023;8;3;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2023;9;2;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2023;10;2;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2023;11;2;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;2;2;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;3;1;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;4;1;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;5;2;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;6;2;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;9;3;J12-J18;SIH/SUS;PNEUMONIA
Rio Branco;5107206;2024;11;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;1;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;2;8;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;3;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;4;6;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;5;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;7;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;8;7;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;9;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;10;10;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;11;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2010;12;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;1;7;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;2;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;3;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;4;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;5;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;6;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;7;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;8;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;10;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2011;11;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;1;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;2;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;5;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;6;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;7;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;8;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;9;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;10;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;11;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2012;12;7;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;1;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;2;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;3;6;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;4;7;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;5;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;6;7;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;7;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;8;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;9;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;10;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;11;5;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2013;12;5;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;1;6;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;2;6;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;3;5;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;4;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;5;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;6;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;7;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;8;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;9;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;10;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;11;4;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2014;12;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;1;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;2;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;3;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;4;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;5;13;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;6;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;7;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;8;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;9;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;10;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2015;12;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2016;4;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2016;5;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2016;6;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2016;8;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2016;9;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;1;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;2;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;3;5;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;4;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;5;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;6;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;7;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;8;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2017;9;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2018;1;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2018;3;5;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2018;8;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2018;10;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2018;11;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2018;12;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2019;1;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2019;3;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2019;4;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2019;6;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2019;7;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2020;1;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2020;3;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2020;6;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2020;8;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2021;9;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2021;10;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2021;11;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2021;12;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;1;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;4;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;5;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;8;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;9;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;11;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2022;12;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;3;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;4;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;5;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;6;6;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;7;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;9;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;11;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2023;12;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;1;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;3;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;4;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;5;3;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;7;2;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;8;1;J12-J18;SIH/SUS;PNEUMONIA
Salto do Céu;5107750;2024;10;2;J12-J18;SIH/SUS;PNEUMONIA
